id,hebrew,transliterated
411,המשבר במפרץ הפרסי לא היה נושא בחירות מרכזי באיובה,hmebr bmprc hprsi la hih nwea bxirwt mrkzi baiwbh
412,טום הארקין הליברלי,vwm harqin hlibrli
413,ויריבו הרפובליקאי השמרן טום טקי,wiribw hrpwbliqai hemrn vwm vqi
414,אמנם לא,amnm la
415,להסכים על שום עניין,lhskim yl ewm yniin
416,אבל נטו להסכים על המפרץ הפרסי,abl nvw lhskim yl hmprc hprsi
417,שניהם תומכים בנשיא,enihm twmkim bneia
418,ושניהם מאמינים בצורך בזהירות,wenihm maminim bcwrk bzhirwt
419,בימי המלחמה הקרה היה טוקי אנטי,bimi hmlxmh hqrh hih vwqi anvi
420,נלהב,nlhb
421,והארקין היה יונה נלהבת,wharqin hih iwnh nlhbt
422,טוקי תמך בכל סעיף הוצאות צבאיות אפשרי,vwqi tmk bkl syip hwcawt cbaiwt aperi
423,וחייב את המאבק להפלת ממשלת ניקרגואה,wxiib at hmabq lhplt mmelt niqrgwah
424,הארקין רצה קיצוצים ניכרים,harqin rch qicwcim nikrim
425,הביטחון,hbivxwn
426,ועמד בראש המאבק בסנאט נגד הסיוע לקונטראס,wymd brae hmabq bsnav ngd hsiwy lqwnvras
427,במפרץ הפרסי,bmprc hprsi
428,נצים יוניים,ncim iwniim
429,או יונים נציות,aw iwnim nciwt
430,במידה כמעט שווה,bmidh kmyv ewwh
431,בהעדר קומוניזם,bhydr qwmwnizm
432,פרגמטיזם ואל פני השטח חוזרת גם מידה הגונה של בדלנות אינסטינקטיווית,prgmvizm wal pni hevx xwzrt gm midh hgwnh el bdlnwt ainsvinqviwwit
433,אפיון היסטורי של מדינות המערב התיכון האמריקאי,apiwn hisvwri el mdinwt hmyrb htikwn hamriqai
434,במהלך מערכת הבחירות,bmhlk myrkt hbxirwt
435,מטהו של טוקי תשדיר טלוויזיה,mvhw el vwqi tedir vlwwizih
436,שאחד מסעיפיו היה התנגדות לסיוע חוץ,eaxd msyipiw hih htngdwt lsiwy xwc
437,השדולה הפרו,hedwlh hprw
438,ישראלית בוואשינגטון,ieralit bwwaeingvwn
439,התנגדות לסיוע חוץ מעמידה את,htngdwt lsiwy xwc mymidh at
440,מחוץ למחנה גם אם אינה מוסבת ספציפית על ישראל,mxwc lmxnh gm am ainh mwsbt spcipit yl ieral
441,פעילים פרו,pyilim prw
442,ישראליים,ieraliim
443,מאז ומעולם יהודים לתרום כספים למועמדים,maz wmywlm ihwdim ltrwm kspim lmwymdim
444,הנאבקים נגד מתנגדי סיוע החוץ,hnabqim ngd mtngdi siwy hxwc
445,ממילא,mmila
446,טום הארקין,vwm harqin
447,תומך עקיב בסיוע החוץ,twmk yqib bsiwy hxwc
448,היה אחד המקבלים,hih axd hmqblim
449,ביותר של תרומות יהודיות בשש השנים האחרונות,biwtr el trwmwt ihwdiwt bee henim haxrwnwt
450,לפי מקור יהודי באיובה,lpi mqwr ihwdi baiwbh
451,הארקין קיבל  אלף דולר מוועדי פעולה פוליטיים פרו,harqin qibl  alp dwlr mwwydi pywlh pwliviim prw
452,ישראליים בכל,ieraliim bkl
453,טוקי קיבל רק  אלף,vwqi qibl rq  alp
454,ב תיאר,b tiar
455,טום דאיין את,vwm daiin at
456,כאחד מששה או שבעה סנאטורים,kaxd meeh aw ebyh snavwrim
457,שנבחרו בזכות,enbxrw bzkwt
458,כסף יהודי,ksp ihwdi
459,זו היתה,zw hith
460,לא,la
461,דיסקרטית,disqrvit
462,ואין ספק שיימנע ממנה השנה,wain spq eiimny mmnh henh
463,אף,ap
464,על,yl
465,פי,pi
466,כן,kn
467,פרו,prw
468,ישראליים בוואשינגטון חככו השבוע את ידיהם בשביעות רצון למשמע הידיעה,ieraliim bwwaeingvwn xkkw hebwy at idihm bebiywt rcwn lmemy hidiyh
469,שהארקין גבר על טוקי בהפרש משכנע של,eharqin gbr yl vwqi bhpre mekny el
470,הוא הסנאטור הדמוקרטי,hwa hsnavwr hdmwqrvi
471,בתולדות איובה הנבחר לתקופת כהונה שנייה,btwldwt aiwbh hnbxr ltqwpt khwnh eniih
472,הוא גם יודע,hwa gm iwdy
473,שבלי תרומות,ebli trwmwt
474,לגבולות מדינתו הקטנה,lgbwlwt mdintw hqvnh
475,יתקשה לאסוף די כסף לניהול מערכת הבחירות,itqeh laswp di ksp lnihwl myrkt hbxirwt
476,היקרה,hiqrh
477,שבלעדיה אין פוליטיקאים אמריקאיים מסוגלים לנצח,eblydih ain pwliviqaim amriqaiim mswglim lncx
478,חזקה על הארקין,xzqh yl harqin
479,שיצביע גם בעתיד בעד חוק סיוע החוץ,eicbiy gm bytid byd xwq siwy hxwc
480,מזכירות איגוד הפועלים החקלאיים הציעה אתמול שהממשלה תשלם מענק חודשי,mzkirwt aigwd hpwylim hxqlaiim hciyh atmwl ehmmelh telm mynq xwdei
481,500,500
482,נוסף לשכר הרגיל,nwsp lekr hrgil
483,לכל ישראלי שיעבוד בקטיף ההדרים במשך,lkl ierali eiybwd bqvip hhdrim bmek
484,חודשים לפחות,xwdeim lpxwt
485,מזכיר איגוד הפועלים החקלאיים,mzkir aigwd hpwylim hxqlaiim
486,חיים אביבי,xiim abibi
487,מסר,msr
488,הועלתה לנוכח המחסור בעובדי קטיף המורגש כבר כעת ויוחרף בחודש הבא,hwylth lnwkx hmxswr bywbdi qvip hmwrge kbr kyt wiwxrp bxwde hba
489,יהיה בעיצומו,ihih byicwmw
490,בעיקר עקב היעדרות עובדים מהשטחים,byiqr yqb hiydrwt ywbdim mhevxim
491,המעסיקים אינם,hmysiqim ainm
492,שיצליחו למשוך מספר ניכר של עובדים ישראליים לקטיף,eiclixw lmewk mspr nikr el ywbdim ieraliim lqvip
493,בגלל השכר הנמוך,bgll hekr hnmwk
494,לעבודה זו מעט מעל שכר המינימום במשק,lybwdh zw myv myl ekr hminimwm bmeq
495,בשבוע הבא ידון,bebwy hba idwn
496,התאחדות האיכרים,htaxdwt haikrim
497,שלמה רייזמן,elmh riizmn
498,עם,ym
499,שירות התעסוקה,eirwt htyswqh
500,דוד מנע,dwd mny
501,בדרישת ההתאחדות,bdriet hhtaxdwt
502,עולים חדשים הלומדים באולפנים לעבוד בקטיף,ywlim xdeim hlwmdim bawlpnim lybwd bqvip
503,רייזמן מציע שהממשלה,riizmn mciy ehmmelh
504,מחצית מעלות העסקתם של העולים בקטיף,mxcit mylwt hysqtm el hywlim bqvip
505,מזכירות איגוד הפועלים החקלאיים,mzkirwt aigwd hpwylim hxqlaiim
506,אתמול נקיטת עיצומים אם עד סוף השבוע הבא לא יושג הסכם שכר לשנתיים הבאות,atmwl nqivt yicwmim am yd swp hebwy hba la iweg hskm ekr lentiim hbawt
507,במסגרתו יועלה שכר העובדים,bmsgrtw iwylh ekr hywbdim
508,הסכם השכר פג באפריל,hskm hekr pg bapril
509,רשות שדות התעופה,rewt edwt htywph
510,אריה גרוסבורד,arih grwsbwrd
511,נהרג ביום שני בתאונת דרכים בארצות,nhrg biwm eni btawnt drkim barcwt
512,הברית,hbrit
513,גרוסבורד נהג לבדו במכונית,grwsbwrd nhg lbdw bmkwnit
514,בדרכו מהעיר מיניאפוליס,bdrkw mhyir miniapwlis
515,לנמל התעופה שלה,lnml htywph elh
516,משאית פגעה במכוניתו,meait pgyh bmkwnitw
517,והוא נהרג במקום,whwa nhrg bmqwm
518,אריה,arih
519,אמור היה לטוס ממיניאפוליס לשיקאגו,amwr hih lvws mminiapwlis leiqagw
520,וממנה לניו,wmmnh lniw
521,יורק,iwrq
522,שם היה,em hih
523,להיפגש עם אשתו,lhipge ym aetw
524,שעשתה בבוסטון,eyeth bbwsvwn
525,בני הזוג גרוסבורד תוכננו לשוב,bni hzwg grwsbwrd twknnw lewb
526,אחרי,axri
527,הצהריים לישראל,hchriim lieral
528,דבר מותו של גרוסבורד נודע רק אתמול בצהריים,dbr mwtw el grwsbwrd nwdy rq atmwl bchriim
529,שדות התעופה,edwt htywph
530,הגורמים,hgwrmim
531,שטיפלו בדבר בארץ,eviplw bdbr barc
532,לא קישרו את שמו עם תפקידו,la qierw at emw ym tpqidw
533,משטרת מיניאפוליס מצאה במכוניתו את מזוודותיו עם תגי הזיהוי,mevrt miniapwlis mcah bmkwnitw at mzwwdwtiw ym tgi hzihwi
534,המשטרה,hmevrh
535,למחלקת המדינה האמריקאית,lmxlqt hmdinh hamriqait
536,שהעבירה את המידע לקונסוליה הישראלית בשיקאגו,ehybirh at hmidy lqwnswlih hieralit beiqagw
537,המטפלת באזור מיניאפוליס,hmvplt bazwr miniapwlis
538,הקונסוליה בשיקאגו הבריקה לירושלים,hqwnswlih beiqagw hbriqh lirwelim
539,החוץ בירושלים נשלח שליח להודיע על דבר המוות לבני המשפחה,hxwc birwelim nelx elix lhwdiy yl dbr hmwwt lbni hmepxh
540,אולם לא,awlm la
541,איש בדירתו,aie bdirtw
542,רק אחר,rq axr
543,כך נמצא כרטיס ביקור,kk nmca krvis biqwr
544,ובו שמו ותוארו של,wbw emw wtwarw el
545,כמנהל מפעל פרטי,kmnhl mpyl prvi
546,אנשי משרד החוץ התקשרו אתמול למפעל,anei merd hxwc htqerw atmwl lmpyl
547,ורק אז התברר,wrq az htbrr
548,מדובר,mdwbr
549,רשות שדות התעופה,rewt edwt htywph
550,גרוסבורד,grwsbwrd
551,בן  במותו,bn  bmwtw
552,השאיר,heair
553,אם,am
554,אחות,axwt
555,רעיה,ryih
556,בן ושתי בנות,bn weti bnwt
557,עדיין לא נקבע מועד להלווייתו,ydiin la nqby mwyd lhlwwiitw
558,מרכז המידע לזכויות האדם בשטחים,mrkz hmidy lzkwiwt hadm bevxim
559,בצלם,bclm
560,מפעם לפעם דפי מידע ובהם פרטים על הנעשה בשטחים בתחומים שונים,mpym lpym dpi midy wbhm prvim yl hnyeh bevxim btxwmim ewnim
561,ענייני מאוד,yniini mawd
562,בדרך כלל יש בו נגיעה לענייני חוק,bdrk kll ie bw ngiyh lyniini xwq
563,בצלם,bclm
564,נוהג,nwhg
565,את דפי המידע שלו בין בעלי עניין שונים,at dpi hmidy elw bin byli yniin ewnim
566,חלקם בעלי משרות במערכת המשפט,xlqm byli merwt bmyrkt hmepv
567,בימים אלה התקבל במשרדי הארגון מכתב ממשרד המשפטים,bimim alh htqbl bmerdi hargwn mktb mmerd hmepvim
568,על נייר רשמי,yl niir remi
569,לשונו,lewnw
570,הנדון החוברת שלכם,hndwn hxwbrt elkm
571,מוחזר אליכם החומר שנשלח אלי,mwxzr alikm hxwmr enelx ali
572,כמותו אתם שולחים אלי מדי פעם והוא נזרק ישר לפח,kmwtw atm ewlxim ali mdi pym whwa nzrq ier lpx
573,אבקשכם לשלוח אלי,abqekm lelwx ali
574,זה,zh
575,מען עבודתי מיועד לקבלת חומר עבודה בלבד,myn ybwdti miwyd lqblt xwmr ybwdh blbd
576,על החתום נגה ענתבי,yl hxtwm ngh yntbi
577,הממונה על נוסח החוק ורשומות,hmmwnh yl nwsx hxwq wrewmwt
578,ולמי שיספר פעם את סיפורה של שגרת,wlmi eispr pym at sipwrh el egrt
579,בימים המטורפים האלה,bimim hmvwrpim halh
580,הנה הערת שוליים,hnh hyrt ewliim
581,על חשבונות המים שעיריית,yl xebwnwt hmim eyiriit
582,שלחה בימים אלה לתושבים הודפסה הנחיה בזו הלשון,elxh bimim alh ltwebim hwdpsh hnxih bzw hlewn
583,אם יש לך מיכל,am ie lk mikl
584,על גג הבית,yl gg hbit
585,אנא דאג לנעילת הכניסה אל הגג,ana dag lnyilt hknish al hgg
586,כדי למנוע מאנשים זרים,kdi lmnwy maneim zrim
587,או להרעיל את מי השתייה,aw lhryil at mi hetiih
588,הסתיו אתנו,hstiw atnw
589,העלים מזהיבים,hylim mzhibim
590,קצה של שנה נוספת נראה במעורפל באופק,qch el enh nwspt nrah bmywrpl bawpq
591,ועדיין לא זכית במענק,wydiin la zkit bmynq
592,גאונות,gawnwt
593,של קרן מקארתור,el qrn mqartwr
594,גם אני לא,gm ani la
595,רשימת הזוכים השנה,reimt hzwkim henh
596,כמו תמיד,kmw tmid
597,די בו כדי לגרום לסופרים,di bw kdi lgrwm lswprim
598,לאמנים,lamnim
599,לאקדמאים ולפעילים במסגרות שונות ברחבי ארצות הברית כולה לצפות לרשימת,laqdmaim wlpyilim bmsgrwt ewnwt brxbi arcwt hbrit kwlh lcpwt lreimt
600,הבאה,hbah
601,כשבלבם מקננת התקווה שאולי גם הם ייכללו בה,keblbm mqnnt htqwwh eawli gm hm iikllw bh
602,אחרי ככלות הכל,axri kklwt hkl
603,הזוכים אם לשפוט על פי הכתוב עליהם בעיתונות אינם נראים מיוחדים,hzwkim am lepwv yl pi hktwb ylihm byitwnwt ainm nraim miwxdim
604,כך,kk
605,אבל כמובן,abl kmwbn
606,לאחר בדיקה קפדנית,laxr bdiqh qpdnit
607,מתברר שזה בדיוק מה שהם מיוחדים,mtbrr ezh bdiwq mh ehm miwxdim
608,קחו למשל את מריה ואראלה,qxw lmel at mrih waralh
609,בתחילה היא מצטיירת כמו כל מארגנת קהילתית אחרת,btxilh hia mcviirt kmw kl margnt qhiltit axrt
610,אבל במבט מקרוב מתברר שהיא נמנתה עם מקימי גנאדאס דל ואיה,abl bmbv mqrwb mtbrr ehia nmnth ym mqimi gnadas dl waih
611,לגידול כבשים ולאריגה בלוס אוחוס,lgidwl kbeim wlarigh blws awxws
612,ניו,niw
613,מקסיקו,mqsiqw
614,האם אתם יכולים,ham atm ikwlim
615,על כך,yl kk
616,וישנם גם הזוכים המיוחדים במובן היותר שנוי במחלוקת של המלה,wienm gm hzwkim hmiwxdim bmwbn hiwtr enwi bmxlwqt el hmlh
617,למרות שמענקי קרן מקארתור נועדו לשחרר את המוכשרים מנטל ההשתכרות למחייתם,lmrwt emynqi qrn mqartwr nwydw lexrr at hmwkerim mnvl hhetkrwt lmxiitm
618,כמה מענקים מגיעים תמיד לאנשים שאינם בדיוק נאבקים כדי לזכות בהכרה,kmh mynqim mgiyim tmid laneim eainm bdiwq nabqim kdi lzkwt bhkrh
619,יצירה,icirh
620,הדוגמה העיקרית של השנה היא סוזן זונטג,hdwgmh hyiqrit el henh hia swzn zwnvg
621,אם בכל זאת אתם,am bkl zat atm
622,סבסוד למחשבותיכם ולמעשיכם,sbswd lmxebwtikm wlmyeikm
623,עליכם להשיג אותו בדרך המיושנת,ylikm lheig awtw bdrk hmiwent
624,לפנות לקרן,lpnwt lqrn
625,ולשכנע אנשים בעלי כסף שאתם זכאים לחלק ממנו,wlekny aneim byli ksp eatm zkaim lxlq mmnw
626,להלן כמה עצות,lhln kmh ycwt
627,עצה,ych
628,1,1
629,הצטרפו לגופים,hcvrpw lgwpim
630,כמעט אף אחד משבעה מיליארדי הדולרים שקרנות,kmyv ap axd mebyh miliardi hdwlrim eqrnwt
631,מחלקות מדי שנה אינו מיועד ליחידים,mxlqwt mdi enh ainw miwyd lixidim
632,זו אחת הסיבות לכך שמענקי,zw axt hsibwt lkk emynqi
633,מבוקשים כל כך,mbwqeim kl kk
634,בדרך כלל מופנה הכסף לקולגים,bdrk kll mwpnh hksp lqwlgim
635,למכוני מחקר,lmkwni mxqr
636,צוותות חשיבה,cwwtwt xeibh
637,לקבוצות לשירות קהילתי,lqbwcwt leirwt qhilti
638,למוזיאונים,lmwziawnim
639,לספריות,lspriwt
640,אחרים שלא למטרות רווח,axrim ela lmvrwt rwwx
641,משום כך,mewm kk
642,ראשית כל עליך לחשוב על קבלת,raeit kl ylik lxewb yl qblt
643,חשוב באחד ממאות הגופים הללו,xewb baxd mmawt hgwpim hllw
644,אז תוכל לתור אחר כסף באורח עצמאי פחות,az twkl ltwr axr ksp bawrx ycmai pxwt
645,יותר,iwtr
646,אפילו לייסד במשך הזמן מכון משלך במסגרת המכון נותן החסות,apilw liisd bmek hzmn mkwn melk bmsgrt hmkwn nwtn hxswt
647,שנותן החסות שלך ירצה אחוז שמן מהמענק כדי לכסות,enwtn hxswt elk irch axwz emn mhmynq kdi lkswt
648,הוצאות קבועות,hwcawt qbwywt
649,אתה מעדיף לפעול בלי איש ביניים,ath mydip lpywl bli aie biniim
650,אתה יכול להקים ארגון משלך שלא,ath ikwl lhqim argwn melk ela
651,רווח,rwwx
652,כך נהג איל ההון בעל המודעות החברתית טד טרנר,kk nhg ail hhwn byl hmwdywt hxbrtit vd vrnr
653,כאשר מימן את,kaer mimn at
654,לעולם טוב יותר,lywlm vwb iwtr
